DATE,DESCRIPTION,UNIT,PLACE
"Friday, April 1, 2022",Beef,1,Kolenchery 
"Friday, April 1, 2022",Fish,1,Kolenchery 
"Sunday, April 3, 2022",Beef,2,Tripunithura 
"Tuesday, April 5, 2022",Prawns,1,Bangalore 
"Wednesday, April 6, 2022",Dates,1,Mangalore
"Thursday, April 7, 2022",Fish,2,Pathanamthitta 
"Thursday, April 7, 2022",Beef,1,Pathanamthitta 
"Thursday, April 7, 2022",Mango,2,Pathanamthitta 
"Thursday, April 7, 2022",Lemon,1,Pathanamthitta 
"Friday, April 8, 2022",Fish,1,Pune
"Friday, April 8, 2022",Prawns,1,Pune
"Friday, April 8, 2022",Beef,1,Pune
"Sunday, April 10, 2022",Beef,2,Malappuram
"Sunday, April 10, 2022",Mango,2,Malappuram
"Sunday, April 10, 2022",Prawns,2,Malappuram
"Monday, April 11, 2022",Fish,1,Padappai- Tamilnadu
"Friday, April 15, 2022",Beef,1,Nettoor
"Friday, April 15, 2022",Prawns,1,Nettoor
"Tuesday, April 19, 2022",Prawns,2,Malappuram
"Tuesday, April 19, 2022",Lemon,1,Malappuram
"Tuesday, April 19, 2022",Mango,2,Malappuram
"Tuesday, April 19, 2022",Dry fruits,1,Malappuram
"Tuesday, April 19, 2022",Prawns,1,Kottayam
"Wednesday, April 20, 2022",Prawns,3,Jabalpur - Madhyapradesh
"Wednesday, April 20, 2022",Beef,3,Jabalpur - Madhyapradesh
"Wednesday, April 20, 2022",Fish,2,Eroor - Vytila
"Wednesday, April 20, 2022",Beef,2,Eroor - Vytila
"Wednesday, April 20, 2022",Prawns,2,Kanjiramttom
"Wednesday, April 20, 2022",Fish,2,Kanjiramttom
"Thursday, April 21, 2022",Prawns,1,Vazhakala
"Thursday, April 21, 2022",Beef,1,Vazhakala
"Thursday, April 21, 2022",Mango,1,Vazhakala
"Thursday, April 21, 2022",King Fish,4,Noida - UP
"Thursday, April 21, 2022",Prawns,2,Noida - UP
"Thursday, April 21, 2022",Beef,2,Noida - UP
"Thursday, April 21, 2022",Lemon,2,Noida - UP
"Thursday, April 21, 2022",Dryfruits,1,Noida - UP
"Thursday, April 21, 2022",Kadumanga,1,Noida - UP
"Friday, April 22, 2022",Beef,2,Mumbai
"Friday, April 22, 2022",King Fish,2,Mumbai
"Tuesday, May 3, 2022",Dates,2,United States
"Tuesday, May 3, 2022",Beef,1,United States
"Tuesday, May 3, 2022",Mango,1,United States
"Tuesday, May 3, 2022",Dryfruits,1,United States
"Tuesday, May 3, 2022",Lemon,1,United States
"Saturday, May 7, 2022",Lemon,1,Bangalore to US
"Saturday, May 7, 2022",Mango,1,Bangalore to US
"Saturday, May 7, 2022",Mango,1,Bangalore to US
"Saturday, May 7, 2022",Prawns,1,Bangalore to US
"Friday, May 13, 2022",King Fish,2,To Kottayam
"Friday, May 13, 2022",Prawns,2,To Kottayam
"Friday, May 13, 2022",Beef,4,To Kottayam
"Friday, May 13, 2022",Mango,5,To Kottayam
"Friday, May 13, 2022",Lemon,1,To Kottayam
"Thursday, May 12, 2022",Beef,1,Chennai
"Monday, May 16, 2022",Prawns,3,Kumily
"Thursday, May 19, 2022",Beef,1,Nettoor
"Thursday, May 19, 2022",Prawns,2,Nettoor
"Thursday, May 19, 2022",Beef,1,Mangalore - Ullal
"Thursday, May 19, 2022",Beef,1,Mangalore - Ullal
"Thursday, May 19, 2022",Beef,1,Tripunithura
"Thursday, May 19, 2022",Prawns,1,Tripunithura
"Thursday, May 19, 2022",Fish,1,Tripunithura
"Thursday, May 19, 2022",Beef,1,Kochi
"Thursday, May 19, 2022",Prawns,1,Kochi
"Thursday, May 19, 2022",Fish,1,Kochi
"Friday, May 20, 2022",Prawns,1,Kolenchery 
"Tuesday, May 17, 2022",Mango,1,Eloor
"Tuesday, May 17, 2022",Lemon,1,Eloor
"Tuesday, May 17, 2022",Dates,1,Eloor
"Tuesday, May 17, 2022",Prawns,1,Tripunithurra
"Tuesday, May 17, 2022",Beef,2,Aroor
"Friday, May 27, 2022",Beef,1,Chennai
"Saturday, May 28, 2022",Dry fruits,2,Malappuram
"Saturday, May 28, 2022",Prawns,2,Malappuram
"Saturday, May 28, 2022",Fish,1,Malappuram
"Friday, April 22, 2022",Beef,2,Mumbai
"Friday, April 22, 2022",King Fish,2,Mumbai
"Monday, May 30, 2022",Prawns,1,Mumbai
"Monday, May 30, 2022",Beef,1,Mumbai
"Tuesday, May 31, 2022",Beef,1,Kumily
"Wednesday, June 1, 2022",King Fish,6,Thrissur/ Guruvayoor
"Wednesday, June 1, 2022",Prawns,6,Eloor
"Wednesday, June 1, 2022",Beef,4,Eloor
"Wednesday, June 1, 2022",Dryfruits,2,Eloor
"Thursday, June 9, 2022",Beef,1,Kakkanad
"Thursday, June 9, 2022",Fish,1,Kakkanad
"Sunday, June 5, 2022",Prawns,1,Bangalore
"Sunday, June 5, 2022",Prawns,4,malappuram
"Saturday, June 18, 2022",King Fish,2,Kochi
"Tuesday, June 21, 2022",Prawns,3,Kadavanthra
"Tuesday, June 21, 2022",Beef,3,Kadavanthra
"Tuesday, June 21, 2022",Mango,3,Kadavanthra
"Tuesday, June 21, 2022",Prawns,1,Eroor - Vytila
"Tuesday, June 21, 2022",Beef,1,Eroor - Vytila
"Tuesday, June 21, 2022",Fish,1,Eroor - Vytila
"Tuesday, June 21, 2022",Prawns,1,kadavanthra
"Thursday, June 23, 2022",Beef,1,Kottayam
"Sunday, June 26, 2022",Prawns,1,Kochi
"Tuesday, June 28, 2022",Prawns,4,Kottayam
"Tuesday, June 28, 2022",Fish,3,Kottayam
"Tuesday, June 28, 2022",King Fish,1,Kottayam
"Tuesday, June 28, 2022",Beef,4,Kottayam
"Tuesday, July 5, 2022",Prawns,2,
"Tuesday, July 5, 2022",Fish,2,
"Tuesday, July 5, 2022",Prawns,2,
"Tuesday, July 5, 2022",Lemon,4,
"Friday, July 8, 2022",Beef,1,
"Friday, July 15, 2022",Beef,1,
"Friday, July 15, 2022",Prawns,1,
"Friday, July 15, 2022",Lemon,1,
